Mnemo,Value
CI_JOBS,45
CI_JOBS_FAILED_1W,5
CI_JOBS_GREEN,24
CI_JOBS_GREEN_RATIO,72
CI_JOBS_RED,5
CI_JOBS_YELLOW,4
PMI_ACCESS_INFO,3
PMI_DOC_INFO,8
PMI_ITS_INFO,5
PMI_REL_VOL,38
PMI_SCM_INFO,3
SCM_AUTHORS,26
SCM_AUTHORS_1M,7
SCM_AUTHORS_1W,5
SCM_AUTHORS_1Y,16
SCM_COMMITS,3663
SCM_COMMITS_1M,78
SCM_COMMITS_1W,15
SCM_COMMITS_1Y,770
SCM_COMMITTERS,20
SCM_COMMITTERS_1M,7
SCM_COMMITTERS_1W,5
SCM_COMMITTERS_1Y,11
SCM_MOD_LINES,6515400
SCM_MOD_LINES_1M,20918
SCM_MOD_LINES_1W,1579
SCM_MOD_LINES_1Y,628160
SO_ANSWERS_VOL_5Y,25
SO_ANSWER_RATE_5Y,0.81
SO_ASKERS_5Y,19
SO_QUESTIONS_VOL_5Y,31
SO_VIEWS_VOL_5Y,3124
SO_VOTES_VOL_5Y,4
